RNE;ECOLE;Adresse;Code postal;commune;Telephone;Mail;circonscription
0940307Y;Ecole élémentaire Charles Beuvin B;4 rue Henri Koch;94000;Créteil;0156718982;ce.0940307Y@ac-creteil.fr;Circonscription  de Créteil 2
0940309A;Ecole élémentaire Centre;15 rue des Jardins;94240;L'Haÿ-les-Roses;0146648813;ce.0940309A@ac-creteil.fr;Circonscription  de Cachan
0940336E;Ecole élémentaire Marinville;37 avenue de Marinville;94100;Saint-Maur-des-Fossés;0142838818;ce.0940336E@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940388L;Ecole primaire Simone Veil;4 rue Georges Baudelaire;94310;Orly;0146861981;ce.0940388L@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0940389M;Ecole élémentaire Les Antes;1 rue Guillaume Colletet;94150;Rungis;0179616130;ce.0940389M@ac-creteil.fr;Circonscription  de Fresnes
0940400Z;Ecole maternelle Karl Marx;51 avenue Karl Marx;94800;Villejuif;0147262213;ce.0940400Z@ac-creteil.fr;Circonscription  de Villejuif
0940406F;Ecole maternelle Carnot;64 avenue Carnot;94230;Cachan;0149696083;ce.0940406F@ac-creteil.fr;Circonscription  de Cachan
0940407G;Ecole maternelle Cités Jardins Albert Thomas;46 rue Charles Fourier;94500;Champigny-sur-Marne;0141774063;ce.0940407G@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940410K;Ecole maternelle Marcel Cachin;22 rue de Chevilly;94800;Villejuif;0146776262;ce.0940410K@ac-creteil.fr;Circonscription  de Villejuif
0940412M;Ecole maternelle Olympe de Gouges;54 avenue Vladimir Illitch Lénine;94110;Arcueil;0182012027;ce.0940412M@ac-creteil.fr;Circonscription  d'Arcueil
0940420W;Ecole maternelle Paul Bert;11 rue du Nivernais;94550;Chevilly-Larue;0146865385;ce.0940420W@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940421X;Ecole maternelle Paul Bert Belle Image;11 rue Amédée Picard;94230;Cachan;0149699990;ce.0940421X@ac-creteil.fr;Circonscription  de Cachan
0940423Z;Ecole maternelle Diderot;20 avenue Diderot;94100;Saint-Maur-des-Fossés;0148836557;ce.0940423Z@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940442V;Ecole maternelle Louise Michel;21 rue de la Concorde;94400;Vitry-sur-Seine;0143903388;ce.0940442V@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940446Z;Ecole maternelle Charles Beuvin;2 rue Henri Koch;94000;Créteil;0156718983;ce.0940446Z@ac-creteil.fr;Circonscription  de Créteil 2
0940452F;Ecole maternelle Jules Ferry;218 bis rue Jean Jaurès;94700;Maisons-Alfort;0143964630;ce.0940452F@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940453G;Ecole maternelle Makarenko;2 rue Jean Perrin;94200;Ivry-sur-Seine;0149602606;ce.0940453G@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940458M;Ecole maternelle Polangis;12 avenue Joseph Jougla;94340;Joinville-le-Pont;0148893213;ce.0940458M@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940462S;Ecole maternelle Elisa Lesourd;33 rue Jules Ferry;94120;Fontenay-sous-Bois;0171335774;ce.0940462S@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0940463T;Ecole maternelle D Adamville;58 rue Jules Ferry;94100;Saint-Maur-des-Fossés;0148831689;ce.0940463T@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940471B;Ecole maternelle Paul Langevin;218 rue Marcel Hartmann;94200;Ivry-sur-Seine;0149602617;ce.0940471B@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940476G;Ecole maternelle Maurice Denis;39 rue Maurice Pirolley;94500;Champigny-sur-Marne;0141778094;ce.0940476G@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940481M;Ecole maternelle Romain Rolland;2 rue des Ormeaux;94500;Champigny-sur-Marne;0153881121;ce.0940481M@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940484R;Ecole primaire Simone Veil;56 rue de Paris;94340;Joinville-le-Pont;0149766016;ce.0940484R@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940488V;Ecole maternelle Paul Langevin;16 rue Gérard Philipe;94400;Vitry-sur-Seine;0143911561;ce.0940488V@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940491Y;Ecole maternelle Parmentier;57 avenue du Général de Gaulle;94700;Maisons-Alfort;0145184433;ce.0940491Y@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940494B;Ecole maternelle Valmy;2 rue de Valmy;94220;Charenton-le-Pont;0146766602;ce.0940494B@ac-creteil.fr;Circonscription  d'Alfortville
0940513X;Ecole maternelle Saint Exupéry;86 avenue de Versailles;94320;Thiais;0148907698;ce.0940513X@ac-creteil.fr;Circonscription  de Fresnes
0940515Z;Ecole maternelle Le Coteau;36 rue des Vignes;94230;Cachan;0149696031;ce.0940515Z@ac-creteil.fr;Circonscription  de Cachan
0940535W;Ecole élémentaire Albert Camus;137 rue de Brie;94000;Créteil;0145170307;ce.0940535W@ac-creteil.fr;Circonscription  de Créteil 2
0940543E;Ecole maternelle Léon Frapie;1 rue des Genetrais;94500;Champigny-sur-Marne;0148814555;ce.0940543E@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940556U;Ecole maternelle La Plaine;15 avenue François Rude;94230;Cachan;0149696054;ce.0940556U@ac-creteil.fr;Circonscription  de Cachan
0940558W;Ecole élémentaire Jacques Decour;37 rue du Docteur Roux;94500;Champigny-sur-Marne;0155971742;ce.0940558W@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0940574N;Ecole maternelle Henri Wallon;99 rue Louise Aglaé Cretté;94400;Vitry-sur-Seine;0143911721;ce.0940574N@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940627W;Ecole élémentaire Paul Langevin;2 rue du 8 Mai 1945;94460;Valenton;0143890073;ce.0940627W@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940644P;Ecole élémentaire Marc Seguin;111 avenue Anatole France;94190;Villeneuve-Saint-Georges;0143891222;ce.0940644P@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940682F;Ecole élémentaire Jules Ferry;2 rue d'Amboile;94490;Ormesson-sur-Marne;0145760085;ce.0940682F@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940710L;Ecole élémentaire Edouard Herriot;10 avenue des luats;94350;Villiers-sur-Marne;0149301869;ce.0940710L@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940715S;Ecole maternelle Pierre et Marie Curie;6 rue Pierre et Marie Curie;94480;Ablon-sur-Seine;0145971287;ce.0940715S@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0940735N;Ecole maternelle Berthelot;32 rue Curie;94190;Villeneuve-Saint-Georges;0143823583;ce.0940735N@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940767Y;Ecole élémentaire Jacques Solomon;25 rue Gagnée;94200;Ivry-sur-Seine;0149602620;ce.0940767Y@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940947U;Ecole maternelle Jean Lurçat;Villa des Polognes;94460;Valenton;0143890852;ce.0940947U@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0941056M;Ecole élémentaire Henri Wallon;29 rue Sacco et Vanzetti;94800;Villejuif;0146773880;ce.0941056M@ac-creteil.fr;Circonscription  de Villejuif
0941072E;Ecole maternelle Victor Hugo;105 avenue Rouget de l'Isle;94400;Vitry-sur-Seine;0143911741;ce.0941072E@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0941107T;Ecole maternelle le Hameau des Tilleuls;Rue du 8 Mai 1945;94320;Thiais;0148529179;ce.0941107T@ac-creteil.fr;Circonscription  de Fresnes
0941116C;Ecole élémentaire Charles Péguy;91 avenue du Général de Gaulle;94320;Thiais;0146862357;ce.0941116C@ac-creteil.fr;Circonscription  de Fresnes
0941122J;Ecole élémentaire Victor Duruy;7 rue de Joinville;94120;Fontenay-sous-Bois;0171335756;ce.0941122J@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0941131U;Ecole élémentaire Langevin Wallon;18 rue Auguste Gross;94380;Bonneuil-sur-Marne;0149800380;ce.0941131U@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0941132V;Ecole élémentaire Bois Clary;25 rue Maison Blanche;94470;Boissy-Saint-Léger;0175488461;ce.0941132V@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941137A;Ecole maternelle Paul Langevin;5 rue Louise du Pierry;94450;Limeil-Brévannes;0156864460;ce.0941137A@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941247V;Ecole élémentaire Amédée Dunois;18 rue de Sucy;94470;Boissy-Saint-Léger;0145696833;ce.0941247V@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941250Y;Ecole élémentaire Anatole France B;10 square Jean Goujon;94500;Champigny-sur-Marne;0153881064;ce.0941250Y@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0941260J;Ecole élémentaire Lamartine;24 rue des Champs Elysées;94250;Gentilly;0147405811;ce.0941260J@ac-creteil.fr;Circonscription  d'Arcueil
0941266R;Ecole élémentaire les Planètes;9 rue de Marne;94700;Maisons-Alfort;0156721750;ce.0941266R@ac-creteil.fr;Circonscription  de Maisons-Alfort
0941320Z;Ecole élémentaire Jules Ferry;64 rue Roublot;94120;Fontenay-sous-Bois;0171335772;ce.0941320Z@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0941322B;Ecole élémentaire Charles Péguy;20 avenue de la Liberté;94700;Maisons-Alfort;0145184192;ce.0941322B@ac-creteil.fr;Circonscription  de Maisons-Alfort
0941371E;Ecole maternelle les 40 Arpents;Voie aux Vaches;94440;Santeny;0143860456;ce.0941371E@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941372F;Ecole maternelle Jean Moulin;3 A rue Germain Defresne;94400;Vitry-sur-Seine;0146828091;ce.0941372F@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0941390A;Ecole élémentaire Victor Hugo;38 rue Henri Matisse;94400;Vitry-sur-Seine;0603998485;ce.0941390A@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 2
0941401M;Ecole élémentaire Jean Jaurès;6 rue du Verrou;94500;Champigny-sur-Marne;0148814483;ce.0941401M@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0941451S;Ecole primaire Gaspard Monge;Boulevard Montaigut;94000;Créteil;0148981121;ce.0941451S@ac-creteil.fr;Circonscription  de Créteil 1
0941458Z;Ecole élémentaire Marcel Cachin;5 avenue Alsace Lorraine;94500;Champigny-sur-Marne;0155093068;ce.0941458Z@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0941488G;Ecole maternelle Jean de La Fontaine;31 boulevard de l'Europe;94340;Joinville-le-Pont;0148893211;ce.0941488G@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0941511G;Ecole maternelle Marcel Pagnol;15 rue Clément Ader;94430;Chennevières-sur-Marne;0145764449;ce.0941511G@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0941540N;Ecole maternelle Paul Eluard;70 rue Jean Jacques Rousseau;94290;Villeneuve-le-Roi;0149613687;ce.0941540N@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0941542R;Ecole élémentaire Georges Pompidou;14 rue Georges Gaume;94700;Maisons-Alfort;0145184250;ce.0941542R@ac-creteil.fr;Circonscription  de Maisons-Alfort
0941620A;Ecole élémentaire Jean Zay;15 rue Jean Zay;94120;Fontenay-sous-Bois;0171335742;ce.0941620A@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0941623D;Ecole maternelle Jean Charcot;15 rue Jean Charcot;94420;Le Plessis-Trévise;0183904619;ce.0941623D@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0941696H;Ecole maternelle Victor Hugo;11 rue Victor Jérôme;94600;Choisy-le-Roi;0148907900;ce.0941696H@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0941755X;Ecole élémentaire Jean Rostand B;Allée Jean Rostand;94470;Boissy-Saint-Léger;0145990615;ce.0941755X@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941842S;Ecole maternelle de la Tourelle;4 rue Plisson;94160;Saint-Mandé;0141740323;ce.0941842S@ac-creteil.fr;Circonscription  de Vincennes
0941874B;Ecole maternelle Gaston Defferre;5 rue Georges Ohm;94000;Créteil;0156712840;ce.0941874B@ac-creteil.fr;Circonscription  de Créteil 2
0941882K;Ecole maternelle Champs des Alouettes;9 rue de l'Archevêché;94220;Charenton-le-Pont;0143765378;ce.0941882K@ac-creteil.fr;Circonscription  d'Alfortville
0941896A;Ecole primaire la Forêt;Avenue des 40 Arpents;94440;Marolles-en-Brie;0145983456;ce.0941896A@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0942022M;Ecole élémentaire Parangon;41 boulevard Maréchal Leclerc;94340;Joinville-le-Pont;0148893214;ce.0942022M@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0942043K;Ecole élémentaire Paul Langevin;Rue Jean Mermoz;94800;Villejuif;0149584242;ce.0942043K@ac-creteil.fr;Circonscription  de Villejuif
0942088J;Ecole élémentaire Irène Joliot-Curie;56 rue Jean Baptiste Baudin;94800;Villejuif;0147262635;ce.0942088J@ac-creteil.fr;Circonscription  de Villejuif
0942107E;Ecole élémentaire Pasteur;1 rue Jean Moulin;94220;Charenton-le-Pont;0145184503;ce.0942107E@ac-creteil.fr;Circonscription  d'Alfortville
0942147Y;Ecole élémentaire Blaise Pascal;1 rue Nicolas Poussin;94000;Créteil;0148980894;ce.0942147Y@ac-creteil.fr;Circonscription  de Créteil 1
0942148Z;Ecole élémentaire Allezard;38 rue Juliette Savar;94000;Créteil;0141945028;ce.0942148Z@ac-creteil.fr;Circonscription  de Créteil 2
0942198D;Ecole primaire Les Chalets;11 villa Jarlet;94100;Saint-Maur-des-Fossés;0148830056;ce.0942198D@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0942222E;Ecole maternelle Maurice Thorez 2;22 rue du 11 Novembre 1918;94500;Champigny-sur-Marne;0155984101;ce.0942222E@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0942239Y;Ecole maternelle Danielle casanova;9 avenue Romain Rolland;94380;Bonneuil-sur-Marne;0149804817;ce.0942239Y@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0942244D;Ecole élémentaire Marcel Cachin A;91 rue Jules Lagaisse;94400;Vitry-sur-Seine;0616368848;ce.0942244D@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0942274L;Ecole élémentaire Anne Sylvestre;3 avenue Paul Verlaine;94190;Villeneuve-Saint-Georges;0156329801;ce.0942274L@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0942343L;Ecole maternelle les Coquelicots;14 mail Stéphane Hessel;94260;Fresnes;0178682771;ce.0942343L@ac-creteil.fr;Circonscription  de Fresnes
0942344M;Ecole élémentaire Théodore Monod;14 mail Stéphane Hessel;94260;Fresnes;0178682780;ce.0942344M@ac-creteil.fr;Circonscription  de Fresnes
0942359D;Ecole primaire Rosa Parks;84 avenue de Verdun;94200;Ivry-sur-Seine;0149602923;ce.0942359D@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0942371S;Ecole élémentaire Rosalind Franklin;7 rue Emile Blin;94200;Ivry-sur-Seine;0149602410;ce.0942371S@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0942384F;Ecole élémentaire Nelson Mandela;118 avenue Anatole France;94600;Choisy-le-Roi;0170139247;ce.0942384F@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0942385G;Ecole élémentaire Paul Langevin;29 rue Albert 1er;94600;Choisy-le-Roi;0170139236;ce.0942385G@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0942400Y;Ecole maternelle Jacques Prevert;4 rue Charles Peguy;94000;Créteil;0149817612;ce.0942400Y@ac-creteil.fr;Circonscription  de Créteil 1
0942456J;Ecole maternelle Rosalind Franklin;7 rue Emile Blin;94200;Ivry-sur-Seine;0149602410;ce.0942456J@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0942457K;Ecole maternelle Léonard de Vinci;2 ter rue Jacques Kablé;94130;Nogent-sur-Marne;0188296430;ce.0942457K@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0940744Y;Ecole maternelle Danielle Casanova;3 place Paul Vaillant-Couturier;94460;Valenton;0145100610;ce.0940744Y@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0941128R;Ecole élémentaire les Buttes;45 avenue Sainte-Marie;94000;Créteil;0145172281;ce.0941128R@ac-creteil.fr;Circonscription  de Créteil 2
0941483B;Ecole maternelle les Blondeaux;8 rue des écoles;94240;L'Haÿ-les-Roses;0146614397;ce.0941483B@ac-creteil.fr;Circonscription  de Cachan
0941699L;Ecole maternelle Eugénie Cotton;6 rue Georges Clemenceau;94600;Choisy-le-Roi;0148527979;ce.0941699L@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940544F;Ecole maternelle Jeu de paume;9 rue Jeu de Paume;94000;Créteil;0145130742;ce.0940544F@ac-creteil.fr;Circonscription  de Créteil 2
0942132G;Ecole maternelle la Source;5 Petite voie des Fontaines;94150;Rungis;0179616150;ce.0942132G@ac-creteil.fr;Circonscription  de Fresnes
0942346P;Ecole primaire la Habette;12 rue du Docteur Ramon;94000;Créteil;0145130231;ce.0942346P@ac-creteil.fr;Circonscription  de Créteil 2
0942403B;Ecole maternelle Edouard Vaillant;02 rue Edouard Vaillant;94120;Fontenay-sous-Bois;0171335766;ce.0942403B@ac-creteil.fr;Circonscription  de Fontenay-sous-Bois
0940369R;Ecole élémentaire Joliot Curie B;23 rue Saint-Just;94200;Ivry-sur-Seine;0172046676;ce.0940369R@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0941075H;Ecole maternelle Henri Bassis;77 rue du Monument;94500;Champigny-sur-Marne;0155093102;ce.0941075H@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0941318X;Ecole élémentaire Léo Orville;63 boulevard John Fitzgerald Kennedy;94000;Créteil;0145130740;ce.0941318X@ac-creteil.fr;Circonscription  de Créteil 2
0940548K;Ecole maternelle Marcel Cachin;37 rue de Sébastopol;94600;Choisy-le-Roi;0148840272;ce.0940548K@ac-creteil.fr;Circonscription  de Choisy-le-Roi
0940555T;Ecole élémentaire La Plaine;15 rue François Rude;94230;Cachan;0149696051;ce.0940555T@ac-creteil.fr;Circonscription  de Cachan
0940561Z;Ecole maternelle les Guiblets;82 boulevard John Kennedy;94000;Créteil;0141945421;ce.0940561Z@ac-creteil.fr;Circonscription  de Créteil 2
0940562A;Ecole maternelle Paul Casalis;20 rue Henri Doucet;94000;Créteil;0156711967;ce.0940562A@ac-creteil.fr;Circonscription  de Créteil 2
0940642M;Ecole élémentaire Berthelot;36 rue Curie;94190;Villeneuve-Saint-Georges;0143890869;ce.0940642M@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940645R;Ecole élémentaire Anatole France;36 avenue Anatole France;94190;Villeneuve-Saint-Georges;0143890842;ce.0940645R@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940652Y;Ecole élémentaire Paul Bert;61 rue Paul Bert;94290;Villeneuve-le-Roi;0149619340;ce.0940652Y@ac-creteil.fr;Circonscription d'inspection  du 1er degre d'Orly
0940674X;Ecole élémentaire Pasteur;1 rue Louise du Pierry;94450;Limeil-Brévannes;0156864470;ce.0940674X@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0940683G;Ecole élémentaire André Le Notre;30 rue André Le Nôtre;94490;Ormesson-sur-Marne;0145945158;ce.0940683G@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940693T;Ecole élémentaire Jean Jaurès;42 rue Jean Jaurès;94510;La Queue-en-Brie;0145762696;ce.0940693T@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0940704E;Ecole élémentaire Mélanie Bonis;9 rue du Bois d'Auteuil;94440;Villecresnes;0156732013;ce.0940704E@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0940720X;Ecole maternelle Amedée Dunois;18 rue de Sucy;94470;Boissy-Saint-Léger;0145695937;ce.0940720X@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0940725C;Ecole maternelle Saint-Exupéry;87 avenue du Général de Gaulle;94420;Le Plessis-Trévise;0183904617;ce.0940725C@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940732K;Ecole maternelle Edouard Herriot;10 avenue des luats;94350;Villiers-sur-Marne;0149301895;ce.0940732K@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940734M;Ecole maternelle Paul Vaillant-Couturier;Parc de Beauregard;94190;Villeneuve-Saint-Georges;0143890558;ce.0940734M@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940736P;Ecole maternelle Condorcet;2 rue Condorcet;94190;Villeneuve-Saint-Georges;0143890344;ce.0940736P@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940738S;Ecole maternelle Marc Séguin;113 avenue Anatole France;94190;Villeneuve-Saint-Georges;0143890694;ce.0940738S@ac-creteil.fr;Circonscription  de Villeneuve-Saint-Georges
0940756L;Ecole élémentaire Romain Rolland A;3 avenue Romain Rolland;94380;Bonneuil-sur-Marne;0149805190;ce.0940756L@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940759P;Ecole élémentaire Lapierre;Allée du 8 Mai 1945;94140;Alfortville;0143756385;ce.0940759P@ac-creteil.fr;Circonscription  d'Alfortville
0940769A;Ecole élémentaire Robert Schuman;60 avenue de Lattre de Tassigny;94320;Thiais;0148523943;ce.0940769A@ac-creteil.fr;Circonscription  de Fresnes
0940771C;Ecole élémentaire Makarenko;4 rue Jean Perrin;94200;Ivry-sur-Seine;0149602607;ce.0940771C@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940781N;Ecole maternelle d'application Romain Rolland;1 bis rue ROMAIN ROLLAND;94380;Bonneuil-sur-Marne;0149804943;ce.0940781N@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0940799H;Ecole maternelle Maurice Rousseau;52 avenue Claire;94430;Chennevières-sur-Marne;0145764801;ce.0940799H@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940803M;Ecole élémentaire Marbeau;31 avenue Marbeau;94420;Le Plessis-Trévise;0183904565;ce.0940803M@ac-creteil.fr;Circonscription  de Villiers-sur-Marne
0940906Z;Ecole maternelle Geneviève de Gaulle-Anthonioz;7 rue Olympe de Gouges;94240;L'Haÿ-les-Roses;0179616270;ce.0940906Z@ac-creteil.fr;Circonscription  de Cachan
0940943P;Ecole maternelle Charles Péguy;91 avenue du Général de Gaulle;94320;Thiais;0146862269;ce.0940943P@ac-creteil.fr;Circonscription  de Fresnes
0940953A;Ecole élémentaire Lallier;27 rue Paul Hochart;94240;L'Haÿ-les-Roses;0146863571;ce.0940953A@ac-creteil.fr;Circonscription  de Cachan
0941110W;Ecole élémentaire Anatole France;53 rue du Stade;94490;Ormesson-sur-Marne;0145769198;ce.0941110W@ac-creteil.fr;Circonscription  de Bonneuil-sur-Marne
0941119F;Ecole élémentaire Lamartine;40 route de Villiers;94510;La Queue-en-Brie;0145763171;ce.0941119F@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941127P;Ecole élémentaire Victor Hugo;7 avenue de la République;94000;Créteil;0145170360;ce.0941127P@ac-creteil.fr;Circonscription  de Créteil 1
0941133W;Ecole maternelle Lacore-Moreau;9 allée des Jardins;94140;Alfortville;0143754618;ce.0941133W@ac-creteil.fr;Circonscription  d'Alfortville
0941138B;Ecole maternelle Anatole France;5 rue Pierre et Angèle Le Hen;94450;Limeil-Brévannes;0145990218;ce.0941138B@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941140D;Ecole maternelle les Noyers;35 rue de la République;94370;Sucy-en-Brie;0145901339;ce.0941140D@ac-creteil.fr;Circonscription  de Marolles-en-Brie
0941245T;Ecole élémentaire Octobre;76 rue Marcelin Berthelot;94140;Alfortville;0143756431;ce.0941245T@ac-creteil.fr;Circonscription  d'Alfortville
0941268T;Ecole élémentaire Diderot;16 avenue Diderot;94100;Saint-Maur-des-Fossés;0142838819;ce.0941268T@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0941271W;Ecole élémentaire Charles Digeon;24 rue du Commandant Mouchotte;94160;Saint-Mandé;0149579026;ce.0941271W@ac-creteil.fr;Circonscription  de Vincennes
0941307K;Ecole maternelle Jeanne Vacher;89 rue de Musselburgh;94500;Champigny-sur-Marne;0148814592;ce.0941307K@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 1
0941312R;Ecole maternelle Gabriel Péri;47 rue Gabriel Péri;94200;Ivry-sur-Seine;0149602608;ce.0941312R@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0941313S;Ecole maternelle Pierre Curie;1 rue Pierre Curie;94450;Limeil-Brévannes;0145697848;ce.0941313S@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941325E;Ecole élémentaire les Joncs Marins;8 rue Jules Ferry;94170;Le Perreux-sur-Marne;0153481132;ce.0941325E@ac-creteil.fr;Circonscription  de Nogent-sur-Marne
0941333N;Ecole maternelle Savereau;14 rue de Brévannes;94470;Boissy-Saint-Léger;0145696850;ce.0941333N@ac-creteil.fr;Circonscription  de Boissy-Saint-Léger
0941334P;Ecole maternelle Anatole France 2;10 square Jean Goujon;94500;Champigny-sur-Marne;0153881062;ce.0941334P@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
